Date : 2025-09-11 12:58:09
Directory : c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI
Total : 146 files,  34753 codes, 821 comments, 3929 blanks, all 39503 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript JSX     |        103 |     21,743 |        603 |      1,714 |     24,060 |
| YAML               |          1 |      5,626 |          0 |      1,200 |      6,826 |
| TypeScript         |         20 |      3,498 |         76 |        224 |      3,798 |
| Markdown           |         10 |      2,590 |          0 |        575 |      3,165 |
| PostCSS            |          5 |      1,142 |        140 |        210 |      1,492 |
| JSON               |          2 |        107 |          0 |          1 |        108 |
| JSON with Comments |          1 |         27 |          0 |          1 |         28 |
| JavaScript         |          2 |         18 |          2 |          4 |         24 |
| XML                |          2 |          2 |          0 |          0 |          2 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                 | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                    |        146 |     34,753 |        821 |      3,929 |     39,503 |
| . (Files)                                                                                                                                            |         16 |      8,423 |         11 |      1,732 |     10,166 |
| .github                                                                                                                                              |          1 |         75 |          0 |         32 |        107 |
| app                                                                                                                                                  |         64 |     19,784 |        665 |      1,577 |     22,026 |
| app (Files)                                                                                                                                          |          5 |      1,933 |        154 |        246 |      2,333 |
| app\ai-coach                                                                                                                                         |          1 |        853 |         16 |         37 |        906 |
| app\ai-routines                                                                                                                                      |          1 |        661 |         15 |         35 |        711 |
| app\analytics                                                                                                                                        |         14 |      2,457 |         80 |        208 |      2,745 |
| app\analytics (Files)                                                                                                                                |          1 |        150 |          5 |         18 |        173 |
| app\analytics\components                                                                                                                             |         11 |      2,049 |         63 |        162 |      2,274 |
| app\analytics\components (Files)                                                                                                                     |          4 |        601 |         23 |         50 |        674 |
| app\analytics\components\charts                                                                                                                      |          7 |      1,448 |         40 |        112 |      1,600 |
| app\analytics\data                                                                                                                                   |          1 |        163 |         12 |         17 |        192 |
| app\analytics\types                                                                                                                                  |          1 |         95 |          0 |         11 |        106 |
| app\auth                                                                                                                                             |          3 |        733 |          7 |         57 |        797 |
| app\auth\forgot-password                                                                                                                             |          1 |        146 |          3 |         13 |        162 |
| app\auth\login                                                                                                                                       |          1 |        232 |          2 |         18 |        252 |
| app\auth\register                                                                                                                                    |          1 |        355 |          2 |         26 |        383 |
| app\community                                                                                                                                        |          3 |      1,053 |         15 |         68 |      1,136 |
| app\goals                                                                                                                                            |          1 |        476 |          2 |         28 |        506 |
| app\landing                                                                                                                                          |          1 |         19 |          0 |          3 |         22 |
| app\privacy                                                                                                                                          |          1 |        233 |          3 |         14 |        250 |
| app\progress                                                                                                                                         |          1 |        777 |          6 |         37 |        820 |
| app\templates                                                                                                                                        |         17 |      4,649 |        205 |        449 |      5,303 |
| app\templates (Files)                                                                                                                                |          1 |        432 |         13 |         37 |        482 |
| app\templates\builder                                                                                                                                |         16 |      4,217 |        192 |        412 |      4,821 |
| app\templates\builder (Files)                                                                                                                        |          4 |      1,483 |         86 |        150 |      1,719 |
